"filename", "language", "TypeScript", "JSON with Comments", "CSS", "TypeScript JSX", "JSON", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\User.module.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\konta\repos\02-react-projects\world-wise\src\components\User.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 9, 7, 35
"c:\Users\konta\repos\02-react-projects\world-wise\src\context\CitiesContext.tsx", "TypeScript JSX", 0, 0, 0, 143, 0, 0, 0, 0, 0, 16, 159
"c:\Users\konta\repos\02-react-projects\world-wise\src\hooks\useGeolocation.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\konta\repos\02-react-projects\world-wise\src\hooks\useUrlPosition.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\konta\repos\02-react-projects\world-wise\src\index.css", "CSS", 0, 0, 58, 0, 0, 0, 0, 0, 10, 11, 79
"c:\Users\konta\repos\02-react-projects\world-wise\src\main.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\AppLayout.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Homepage.module.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Homepage.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Login.module.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 1, 5, 41
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\PageNotFound.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Pricing.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 1, 2, 27
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Product.module.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\konta\repos\02-react-projects\world-wise\src\pages\Product.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\konta\repos\02-react-projects\world-wise\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\konta\repos\02-react-projects\world-wise\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\konta\repos\02-react-projects\world-wise\tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\konta\repos\02-react-projects\world-wise\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 38, 21, 508, 799, 10679, 13, 19, 18, 31, 247, 12373
